Date,Open,High,Low,Close,Volume
2015-01-02 00:00:00-05:00,26.47124167,26.63028956,26.23664855,26.31965256,26480000
2015-01-05 00:00:00-05:00,26.20036931,26.24211874,25.7331719,25.81816101,41182000
2015-01-06 00:00:00-05:00,25.86984816,25.9051361,25.12680501,25.18098068,54456000
2015-01-07 00:00:00-05:00,25.39519996,25.42203752,25.03237612,25.10692787,46918000
2015-01-08 00:00:00-05:00,24.92600997,25.22372398,24.60344348,25.19440079,73054000
2015-01-09 00:00:00-05:00,25.25752094,25.27839566,24.78386211,24.88674355,42000000
2015-01-12 00:00:00-05:00,24.81318724,24.86487729,24.39917015,24.7048378,57138000
2015-01-13 00:00:00-05:00,24.97869619,25.27839911,24.71477985,24.94042587,60958000
2015-01-14 00:00:00-05:00,24.871834,25.26149724,24.75950869,25.14569092,52800000
2015-01-15 00:00:00-05:00,25.29281113,25.33555406,24.95086204,25.05026627,51068000
2015-01-16 00:00:00-05:00,25.00751956,25.39022456,25.00453719,25.37084198,49658000
2015-01-20 00:00:00-05:00,25.4856524,25.62680604,25.3166658,25.3449955,46796000
2015-01-21 00:00:00-05:00,25.38972944,25.93694846,25.32760203,25.8643837,46356000
2015-01-22 00:00:00-05:00,25.994104,26.78138224,25.93993023,26.70484161,56068000
2015-01-23 00:00:00-05:00,26.74112437,27.10792402,26.62780368,26.93595505,45966000
2015-01-26 00:00:00-05:00,26.91359136,26.91359136,26.44490184,26.67601585,30932000
2015-01-27 00:00:00-05:00,26.41160086,26.48018976,25.88774218,25.90414429,39148000
2015-01-28 00:00:00-05:00,26.09350886,26.12780331,25.46477986,25.46875572,35822000
2015-01-29 00:00:00-05:00,25.49211611,25.60593356,25.02392334,25.50851822,79018000
2015-01-30 00:00:00-05:00,25.79529943,26.99311573,25.75454349,26.7172699,121108000
2015-02-02 00:00:00-05:00,26.55672968,26.66508102,25.93048632,26.45136261,75378000
2015-02-03 00:00:00-05:00,26.33903523,26.71229638,26.18346836,26.50603485,47062000
2015-02-04 00:00:00-05:00,26.49808081,26.67750477,26.09499783,26.14818001,33896000
2015-02-05 00:00:00-05:00,26.23913561,26.37631341,26.12531817,26.33357048,33176000
2015-02-06 00:00:00-05:00,26.39221862,26.84997214,26.27492206,26.53486252,42938000
2015-02-09 00:00:00-05:00,26.39470067,26.53486083,26.22024797,26.30623245,30314000
2015-02-10 00:00:00-05:00,26.44887695,26.88873811,26.30076506,26.84698868,47430000
2015-02-11 00:00:00-05:00,26.82561614,26.93595446,26.64022744,26.73963165,38306000
2015-02-12 00:00:00-05:00,26.82213855,27.25355124,26.68993202,27.13774681,48590000
2015-02-13 00:00:00-05:00,27.21229825,27.46229998,27.1670697,27.39371109,47382000
2015-02-17 00:00:00-05:00,27.39371278,27.48516338,27.00106713,27.08804512,39174000
2015-02-18 00:00:00-05:00,27.02889662,27.21428532,26.81667036,26.97074509,31164000
2015-02-19 00:00:00-05:00,26.96180151,27.17999253,26.87631377,27.15961456,30834000
2015-02-20 00:00:00-05:00,27.21577779,27.21577779,26.74460455,26.92850113,38234000
2015-02-23 00:00:00-05:00,26.78933694,26.80424691,26.4414231,26.59052849,32906000
2015-02-24 00:00:00-05:00,26.41905516,26.80921515,26.39171895,26.77194023,28406000
2015-02-25 00:00:00-05:00,26.76150007,27.31468187,26.74012672,27.20335007,40836000
2015-02-26 00:00:00-05:00,27.1243278,27.83953805,27.09202034,27.79778862,54032000
2015-02-27 00:00:00-05:00,27.74112726,28.30126928,27.68546135,27.9637928,68328000
2015-03-02 00:00:00-05:00,28.180989,28.6278084,27.98963555,28.57959747,50406000
2015-03-03 00:00:00-05:00,28.64569918,28.86935819,28.35494342,28.7669735,50526000
2015-03-04 00:00:00-05:00,28.67651661,28.90812737,28.45534322,28.74411201,37964000
2015-03-05 00:00:00-05:00,28.80822919,28.98616102,28.73914354,28.89818954,35918000
2015-03-06 00:00:00-05:00,28.9265172,28.96528426,28.43248038,28.47422981,37592000
2015-03-09 00:00:00-04:00,28.3758201,28.60096936,28.28287737,28.5338726,23478000
2015-03-10 00:00:00-04:00,28.25454771,28.31816725,27.82412852,27.82562065,40080000
2015-03-11 00:00:00-04:00,27.82313479,28.04082906,27.60494377,27.61886024,40524000
2015-03-12 00:00:00-04:00,27.75752715,27.92452487,27.6109074,27.89122581,35602000
2015-03-13 00:00:00-04:00,27.79480626,28.04977736,27.35245945,27.48516273,35428000
2015-03-16 00:00:00-04:00,27.68049064,28.01945734,27.40166246,27.91458702,36856000
2015-03-17 00:00:00-04:00,27.74808452,27.86488433,27.55524272,27.71428871,28892000
